#                                                                 --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name          accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#  ------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
group_9548_+1_1_333  -          23S_rRNA_IVP         PF05635.14   8.8e-35  119.2   0.0     1e-34  119.0   0.0   1.0   1   0   0   1   1   1   1 -
group_13704_+1_1_324 -          23S_rRNA_IVP         PF05635.14   3.1e-31  107.8   0.0   3.5e-31  107.6   0.0   1.0   1   0   0   1   1   1   1 -
group_15625_+1_1_420 -          23S_rRNA_IVP         PF05635.14    0.0078   16.5   0.0     0.032   14.5   0.0   1.8   1   1   0   1   1   1   1 -
group_23459_+1_1_588 -          23S_rRNA_IVP         PF05635.14      0.23   11.8   2.2        54    4.1   0.1   3.4   1   1   4   5   5   5   0 -
group_6631_+1_1_1359 -          2CSK_N               PF08521.13   0.00024   21.1   0.0   0.00053   20.0   0.0   1.5   1   0   0   1   1   1   1 -
sasA_3_+1_1_1395     -          2CSK_N               PF08521.13     0.004   17.1   0.3     0.013   15.5   0.3   1.9   1   1   0   1   1   1   1 -
nuoF_1_+1_73_1485    -          2Fe-2S_thioredx      PF01257.22   9.1e-10   38.5   0.5   1.4e-06   28.2   0.5   2.2   1   1   0   1   1   1   1 -
group_7910_+1_1_1953 -          2H-phosphodiest      PF08975.13      0.06   13.3   0.0      0.17   11.9   0.0   1.7   1   0   0   1   1   1   0 -
group_13915_+1_1_909 -          2OG-FeII_Oxy         PF03171.23     0.092   13.2   0.0      0.21   12.1   0.0   1.6   1   0   0   1   1   1   0 -
group_17864_+1_1_606 -          2OG-FeII_Oxy_2       PF13532.9    9.7e-13   48.7   0.0   2.2e-12   47.5   0.0   1.6   1   1   0   1   1   1   1 -
group_13915_+1_1_909 -          2OG-FeII_Oxy_3       PF13640.9     0.0039   18.0   0.0    0.0067   17.3   0.0   1.3   1   0   0   1   1   1   1 -
group_13915_+1_1_909 -          2OG-FeII_Oxy_5       PF13759.9    7.2e-07   29.5   0.0   1.5e-06   28.5   0.0   1.4   1   0   0   1   1   1   1 -
group_13276_+1_1_366 -          2TM                  PF13239.9       0.69   10.2   4.8       1.5    9.1   4.8   1.5   1   1   0   1   1   1   0 -
group_10096_+1_1_753 -          2_5_RNA_ligase2      PF13563.9    2.9e-06   27.3   0.2   4.1e-06   26.8   0.2   1.2   1   0   0   1   1   1   1 -
group_2469_+1_1_714  -          2_5_RNA_ligase2      PF13563.9    6.4e-06   26.2   0.2   1.2e-05   25.3   0.2   1.6   1   1   0   1   1   1   1 -
group_12995_+1_1_702 -          2_5_RNA_ligase2      PF13563.9    8.1e-06   25.9   0.2   1.2e-05   25.4   0.2   1.2   1   0   0   1   1   1   1 -
group_10504_+1_1_720 -          2_5_RNA_ligase2      PF13563.9    1.6e-05   24.9   0.0   2.8e-05   24.2   0.0   1.4   1   1   0   1   1   1   1 -
group_5496_+1_1_2208 -          2_5_RNA_ligase2      PF13563.9       0.19   11.7   0.0       0.4   10.6   0.0   1.5   1   0   0   1   1   1   0 -
group_8752_+1_1_657  -          3-alpha              PF03475.17     0.044   13.7   0.2     0.095   12.6   0.2   1.7   1   0   0   1   1   1   0 -
group_12615_+1_1_480 -          3-dmu-9_3-mt         PF06983.16   8.2e-47  158.5   0.0     1e-46  158.2   0.0   1.1   1   0   0   1   1   1   1 -
group_24322_+1_1_417 -          3-dmu-9_3-mt         PF06983.16   2.9e-13   50.3   0.0   3.6e-13   50.0   0.0   1.1   1   0   0   1   1   1   1 -
group_13994_+1_1_891    -          3Beta_HSD            PF01073.22     5e-17   61.8   0.0     1e-16   60.8   0.0   1.5   1   1   0   1   1   1   1 -
group_9366_+1_43_2613   -          3Beta_HSD            PF01073.22   1.4e-15   57.1   0.0   1.9e-15   56.6   0.0   1.2   1   0   0   1   1   1   1 -
group_19219_+1_79_861   -          3Beta_HSD            PF01073.22   2.5e-14   52.9   0.0   3.9e-14   52.3   0.0   1.2   1   0   0   1   1   1   1 -
group_11709_+1_1_996    -          3Beta_HSD            PF01073.22   8.3e-12   44.7   0.0   1.9e-11   43.5   0.0   1.5   1   1   0   1   1   1   1 -
group_18452_+1_1_888    -          3Beta_HSD            PF01073.22   8.5e-08   31.5   0.1   1.4e-07   30.8   0.1   1.3   1   0   0   1   1   1   1 -
group_17728_+1_1_894    -          3Beta_HSD            PF01073.22   1.2e-07   31.0   0.0   1.9e-07   30.4   0.0   1.2   1   0   0   1   1   1   1 -
group_20554_+1_1_864    -          3Beta_HSD            PF01073.22   6.5e-06   25.3   0.0   9.2e-06   24.8   0.0   1.1   1   0   0   1   1   1   1 -
group_14134_+1_154_1206 -          3Beta_HSD            PF01073.22     1e-05   24.7   0.2   3.2e-05   23.0   0.2   1.7   1   1   0   1   1   1   1 -
group_17741_+1_1_876    -          3Beta_HSD            PF01073.22   6.3e-05   22.1   0.1      0.18   10.8   0.0   2.2   2   0   0   2   2   2   2 -
group_20553_+1_1_879    -          3Beta_HSD            PF01073.22   8.6e-05   21.6   0.0   0.00027   20.0   0.0   1.8   1   1   0   1   1   1   1 -
group_14957_+1_1_852    -          3Beta_HSD            PF01073.22    0.0015   17.6   0.0    0.0019   17.2   0.0   1.1   1   0   0   1   1   1   1 -
group_24507_+1_1_858    -          3Beta_HSD            PF01073.22    0.0046   16.0   0.0    0.0069   15.4   0.0   1.3   1   0   0   1   1   1   1 -
group_15639_+1_1_1113   -          3Beta_HSD            PF01073.22     0.065   12.2   0.0     0.094   11.7   0.0   1.2   1   0   0   1   1   1   0 -
group_602_+1_1_1545  -          3D                   PF06725.14   2.6e-24   85.2   0.1   4.6e-24   84.4   0.1   1.4   1   0   0   1   1   1   1 -
group_1419_+1_1_1071 -          3HBOH                PF10605.12       0.1   10.8   0.0      0.13   10.4   0.0   1.1   1   0   0   1   1   1   0 -
group_8740_minus1_1_867 -          3HCDH                PF00725.25    0.0051   17.3   0.0     0.026   15.0   0.0   2.1   2   0   0   2   2   2   1 -
group_8347_+1_1_1152    -          3HCDH                PF00725.25     0.058   13.9   0.1      0.25   11.9   0.0   2.0   2   0   0   2   2   2   0 -
group_22450_minus1_55_612   -          3HCDH_N              PF02737.21    0.0034   17.3   0.0     0.004   17.0   0.0   1.2   1   0   0   1   1   1   1 -
group_18828_+1_1_1014       -          3HCDH_N              PF02737.21    0.0046   16.8   0.1     0.007   16.3   0.1   1.3   1   0   0   1   1   1   1 -
group_21337_+1_1_909        -          3HCDH_N              PF02737.21     0.005   16.7   0.0     0.007   16.2   0.0   1.2   1   0   0   1   1   1   1 -
group_11789_+1_1_723        -          3HCDH_N              PF02737.21      0.01   15.7   0.0     0.015   15.1   0.0   1.3   1   0   0   1   1   1   0 -
group_11187_+1_1_1299       -          3HCDH_N              PF02737.21     0.017   15.0   0.4     0.035   14.0   0.4   1.5   1   0   0   1   1   1   0 -
group_22719_minus1_34_852   -          3HCDH_N              PF02737.21     0.038   13.9   0.2     0.079   12.8   0.2   1.6   1   0   0   1   1   1   0 -
group_22468_minus1_124_1047 -          3HCDH_N              PF02737.21     0.098   12.5   2.0       2.3    8.1   0.0   2.2   2   0   0   2   2   2   0 -
group_6622_+1_1_2142        -          3HCDH_N              PF02737.21      0.13   12.1   0.6      0.22   11.4   0.6   1.3   1   0   0   1   1   1   0 -
group_20325_+1_1_1812       -          3HCDH_N              PF02737.21      0.15   11.9   0.1      0.22   11.4   0.1   1.3   1   0   0   1   1   1   0 -
group_14957_+1_1_852        -          3HCDH_N              PF02737.21      0.21   11.4   0.0      0.34   10.7   0.0   1.5   1   0   0   1   1   1   0 -
group_25873_minus1_1_345    -          3HCDH_N              PF02737.21      0.22   11.4   0.5      0.32   10.8   0.5   1.3   1   0   0   1   1   1   0 -
thi4_+1_1_2166              -          3HCDH_N              PF02737.21       8.1    6.3   8.0      0.12   12.2   0.3   1.9   2   0   0   2   2   1   0 -
group_23466_+1_1_639 -          3keto-disac_hyd      PF06439.14    0.0003   20.9   0.0   0.00035   20.7   0.0   1.2   1   0   0   1   1   1   1 -
group_2188_+1_1_960  -          40S_S4_C             PF16121.8       0.22   11.2   0.0      0.48   10.1   0.0   1.5   1   0   0   1   1   1   0 -
group_4244_+1_1_600        -          4HBT                 PF03061.25   2.6e-15   56.5   0.2   4.8e-15   55.6   0.2   1.5   1   0   0   1   1   1   1 -
group_2202_+1_1_411        -          4HBT                 PF03061.25   1.5e-14   54.0   0.0     2e-14   53.6   0.0   1.2   1   0   0   1   1   1   1 -
group_8578_+1_1_507        -          4HBT                 PF03061.25   2.6e-14   53.3   0.2   8.4e-14   51.6   0.1   1.8   2   0   0   2   2   2   1 -
ybgC_1_+1_1_612            -          4HBT                 PF03061.25   2.6e-14   53.3   0.1   3.9e-14   52.7   0.1   1.3   1   0   0   1   1   1   1 -
group_7621_+1_1_453        -          4HBT                 PF03061.25     1e-13   51.4   0.0   1.6e-13   50.7   0.0   1.3   1   0   0   1   1   1   1 -
group_2466_+1_43_474       -          4HBT                 PF03061.25   9.3e-13   48.3   0.0   1.3e-12   47.8   0.0   1.2   1   0   0   1   1   1   1 -
group_21852_+1_1_414       -          4HBT                 PF03061.25   1.9e-12   47.3   0.1   2.5e-12   46.9   0.1   1.2   1   0   0   1   1   1   1 -
group_17013_+1_37_444      -          4HBT                 PF03061.25   1.7e-11   44.2   0.1   2.5e-11   43.7   0.1   1.2   1   0   0   1   1   1   1 -
group_26138_+1_1_444       -          4HBT                 PF03061.25   3.1e-09   37.0   0.2   4.1e-09   36.6   0.2   1.2   1   0   0   1   1   1   1 -
group_6138_+1_118_447      -          4HBT                 PF03061.25   8.5e-09   35.6   4.4   3.3e-07   30.5   4.4   2.2   1   1   0   1   1   1   1 -
group_5592_+1_43_450       -          4HBT                 PF03061.25   2.5e-08   34.1   0.1   4.6e-08   33.3   0.0   1.5   1   1   0   1   1   1   1 -
group_23377_+1_1_504       -          4HBT                 PF03061.25   9.6e-08   32.2   0.2   1.3e-07   31.8   0.2   1.2   1   0   0   1   1   1   1 -
group_1506_+1_1_831        -          4HBT                 PF03061.25    0.0013   19.0   0.0    0.0035   17.6   0.0   1.8   2   0   0   2   2   1   1 -
group_21696_minus1_37_582  -          4HBT                 PF03061.25    0.0074   16.6   0.0     0.012   15.8   0.0   1.4   1   0   0   1   1   1   1 -
group_26000_+1_1_789       -          4HBT                 PF03061.25     0.011   16.0   0.0     0.021   15.1   0.0   1.4   1   0   0   1   1   1   0 -
pta_+1_1_1416              -          4HBT                 PF03061.25      0.03   14.6   0.0     0.072   13.4   0.0   1.7   1   0   0   1   1   1   0 -
group_14120_+1_187_864     -          4HBT                 PF03061.25     0.036   14.4   0.1      0.48   10.8   0.0   2.3   2   0   0   2   2   2   0 -
group_21711_minus1_106_807 -          4HBT                 PF03061.25     0.037   14.3   0.0      0.07   13.4   0.0   1.5   1   0   0   1   1   1   0 -
group_1757_+1_1_858        -          4HBT                 PF03061.25      0.19   12.1   0.4        16    5.9   0.0   2.8   3   1   0   3   3   2   0 -
group_23377_+1_1_504      -          4HBT_2               PF13279.9    1.8e-16   60.7   0.0   2.2e-16   60.4   0.0   1.1   1   0   0   1   1   1   1 -
ybgC_1_+1_1_612           -          4HBT_2               PF13279.9    6.9e-08   33.0   0.0   9.1e-08   32.6   0.0   1.1   1   0   0   1   1   1   1 -
group_21696_minus1_37_582 -          4HBT_2               PF13279.9       0.15   12.5   0.0      0.17   12.3   0.0   1.2   1   0   0   1   1   1   0 -
group_26000_+1_1_789       -          4HBT_3               PF13622.9    1.5e-31  110.5   0.3   1.7e-31  110.3   0.3   1.0   1   0   0   1   1   1   1 -
group_1506_+1_1_831        -          4HBT_3               PF13622.9      2e-31  110.1   6.3   2.3e-31  109.9   6.3   1.0   1   0   0   1   1   1   1 -
group_21711_minus1_106_807 -          4HBT_3               PF13622.9    8.8e-21   75.3   4.5   8.8e-21   75.3   4.5   1.3   1   1   1   2   2   2   1 -
group_2466_+1_43_474       -          4HBT_3               PF13622.9    5.8e-07   30.0   0.0   6.8e-07   29.8   0.0   1.1   1   0   0   1   1   1   1 -
group_8578_+1_1_507        -          4HBT_3               PF13622.9    1.1e-06   29.1   0.2   1.3e-06   28.9   0.2   1.1   1   0   0   1   1   1   1 -
group_5592_+1_43_450       -          4HBT_3               PF13622.9    1.5e-06   28.6   0.3     2e-06   28.3   0.3   1.2   1   0   0   1   1   1   1 -
group_17013_+1_37_444      -          4HBT_3               PF13622.9    6.1e-05   23.4   0.3   7.4e-05   23.1   0.3   1.1   1   0   0   1   1   1   1 -
group_7621_+1_1_453        -          4HBT_3               PF13622.9    0.00013   22.3   0.1   0.00016   22.0   0.1   1.1   1   0   0   1   1   1   1 -
group_21852_+1_1_414       -          4HBT_3               PF13622.9     0.0011   19.2   0.1    0.0013   19.0   0.1   1.2   1   0   0   1   1   1   1 -
group_26138_+1_1_444       -          4HBT_3               PF13622.9     0.0077   16.5   0.1    0.0093   16.2   0.1   1.1   1   0   0   1   1   1   1 -
group_18_+1_1_1692        -          4HB_MCP_1            PF12729.10   6.1e-32  110.6   1.4   6.1e-32  110.6   1.4   4.4   4   2   1   5   5   4   1 -
group_17_+1_1_1689        -          4HB_MCP_1            PF12729.10   1.1e-31  109.8   0.7   1.1e-31  109.8   0.7   4.0   4   2   1   5   5   4   1 -
group_14_+1_1_1689        -          4HB_MCP_1            PF12729.10   3.3e-31  108.2   0.6   3.3e-31  108.2   0.6   3.9   4   2   1   5   5   4   1 -
group_15_+1_1_1689        -          4HB_MCP_1            PF12729.10   1.1e-28  100.0   0.5   1.1e-28  100.0   0.5   4.3   4   2   1   5   5   5   1 -
group_11_+1_1_1689        -          4HB_MCP_1            PF12729.10   9.2e-28   96.9   0.3   9.2e-28   96.9   0.3   4.0   3   2   1   4   4   4   1 -
group_7291_+1_1_1374      -          4HB_MCP_1            PF12729.10   2.3e-26   92.4   2.8   4.4e-26   91.5   0.0   2.2   2   0   0   2   2   2   1 -
group_17978_minus1_16_867 -          4HB_MCP_1            PF12729.10   1.4e-25   89.8   0.2   1.4e-25   89.8   0.2   1.7   2   0   0   2   2   2   1 -
group_31_+1_1_1689        -          4HB_MCP_1            PF12729.10   6.8e-25   87.6   0.3   6.8e-25   87.6   0.3   4.5   4   1   1   5   5   5   1 -
group_28_+1_1_2148        -          4HB_MCP_1            PF12729.10   7.9e-25   87.4   0.0   7.9e-25   87.4   0.0   3.6   3   2   2   5   5   5   1 -
group_19_+1_1_1677        -          4HB_MCP_1            PF12729.10   2.5e-24   85.8   0.4   2.5e-24   85.8   0.4   3.3   3   1   1   4   4   4   1 -
group_10_+1_1_1689        -          4HB_MCP_1            PF12729.10   1.5e-23   83.3   0.2   1.5e-23   83.3   0.2   4.2   4   2   1   5   5   5   1 -
group_14779_minus1_46_717 -          4HB_MCP_1            PF12729.10   1.8e-23   83.0   2.0   1.8e-23   83.0   2.0   1.6   2   0   0   2   2   2   1 -
group_7292_+1_1_1356      -          4HB_MCP_1            PF12729.10   5.4e-22   78.1   0.0   5.4e-22   78.1   0.0   1.8   2   0   0   2   2   2   1 -
group_36_+1_1_1665        -          4HB_MCP_1            PF12729.10   1.4e-19   70.2   0.0   1.4e-19   70.2   0.0   3.8   3   1   2   5   5   5   1 -
group_32_+1_1_2142        -          4HB_MCP_1            PF12729.10   8.1e-16   58.0   0.1   8.1e-16   58.0   0.1   3.7   3   1   1   4   4   4   1 -
group_3270_+1_1_1806      -          4HB_MCP_1            PF12729.10   2.5e-11   43.4   7.2   2.5e-11   43.4   7.2   4.7   5   1   0   5   5   4   1 -
group_6169_+1_1_1920      -          4HB_MCP_1            PF12729.10   1.4e-09   37.7   5.7   1.4e-09   37.7   5.7   4.3   4   0   0   4   4   4   1 -
group_22873_+1_1_2478     -          4HB_MCP_1            PF12729.10     1e-08   34.8   0.3   1.7e-08   34.2   0.3   1.3   1   0   0   1   1   1   1 -
group_37_+1_1_1698        -          4HB_MCP_1            PF12729.10     6e-07   29.1   3.4     6e-07   29.1   3.4   4.0   3   2   1   4   4   4   1 -
group_24935_+1_97_414     -          4HB_MCP_1            PF12729.10   8.6e-06   25.4   0.0     1e-05   25.1   0.0   1.0   1   0   0   1   1   1   1 -
group_6168_+1_1_2070      -          4HB_MCP_1            PF12729.10   6.6e-05   22.5   3.7   6.6e-05   22.5   3.7   5.2   5   0   0   5   5   5   1 -
group_1_+1_1_2064         -          4HB_MCP_1            PF12729.10   0.00014   21.4  20.0   0.00017   21.1   0.0   5.0   4   2   0   5   5   5   1 -
group_2_+1_1_2064         -          4HB_MCP_1            PF12729.10   0.00021   20.9  14.1   0.00083   18.9   0.0   4.7   4   2   1   5   5   5   1 -
group_9553_+1_1_597       -          4HB_MCP_1            PF12729.10    0.0029   17.1   0.4    0.0029   17.1   0.4   1.6   2   0   0   2   2   1   1 -
group_12254_+1_1_1680     -          4HB_MCP_1            PF12729.10      0.56    9.7   2.5      0.31   10.5   0.2   1.7   2   0   0   2   2   2   0 -
group_22161_+1_1_1401 -          4HFCP_synth          PF04476.16     1e-13   51.5   1.1   1.6e-09   37.8   0.2   3.6   2   2   0   2   2   2   2 -
group_10004_+1_1_741 -          4PPT_N               PF17837.4    7.2e-05   22.8   2.8   0.00028   20.9   2.8   2.1   1   1   0   1   1   1   1 -
group_15294_+1_1_402      -          5-nucleotidase       PF06189.15   2.5e-20   72.5   0.0     6e-18   64.7   0.0   2.0   1   1   1   2   2   2   2 -
group_23534_minus1_34_483 -          5-nucleotidase       PF06189.15     0.039   12.9   0.0     0.043   12.7   0.0   1.1   1   0   0   1   1   1   0 -
group_24372_+1_1_921 -          5TM-5TMR_LYT         PF07694.15      0.15   11.6  14.6      0.42   10.1  11.4   2.5   2   1   1   3   3   3   0 -
group_15225_+1_1_714   -          5_3_exonuc           PF01367.23   6.2e-09   36.3   0.0   1.5e-08   35.1   0.0   1.6   1   0   0   1   1   1   1 -
group_19400_+1_148_798 -          5_3_exonuc           PF01367.23   3.8e-07   30.6   0.0   1.1e-06   29.1   0.0   1.7   1   1   0   1   1   1   1 -
group_19400_+1_148_798 -          5_3_exonuc_N         PF02739.19   1.9e-11   44.0   0.0   2.8e-11   43.5   0.0   1.3   1   0   0   1   1   1   1 -
group_15225_+1_1_714   -          5_3_exonuc_N         PF02739.19   2.7e-11   43.5   0.0   4.4e-11   42.9   0.0   1.3   1   0   0   1   1   1   1 -
group_26100_+1_1_966   -          5_3_exonuc_N         PF02739.19       0.1   12.4   0.1      0.59    9.9   0.1   2.1   1   1   0   2   2   2   0 -
group_25534_+1_1_315   -          5_3_exonuc_N         PF02739.19      0.12   12.2   1.0      0.76    9.6   0.1   2.0   1   1   1   2   2   2   0 -
group_21905_minus1_76_1305 -          5_nucleotid          PF05761.17         9    5.0  10.6        14    4.3  10.6   1.3   1   0   0   1   1   1   0 -
group_9037_minus1_274_4194 -          5_nucleotid_C        PF02872.21     1e-28  100.4   0.3     4e-28   98.5   0.1   2.1   2   0   0   2   2   2   1 -
group_8699_minus1_52_3546  -          5_nucleotid_C        PF02872.21   6.1e-27   94.7   0.1   2.4e-26   92.7   0.1   2.1   1   0   0   1   1   1   1 -
group_3943_+1_43_2874 -          7TMR-DISMED2         PF07696.14   4.4e-06   26.8   0.0   9.9e-06   25.6   0.0   1.6   1   0   0   1   1   1   1 -
group_3943_+1_43_2874 -          7TMR-DISM_7TM        PF07695.14   7.1e-06   26.0  30.2     1e-05   25.5  30.2   1.2   1   0   0   1   1   1   1 -
group_735_+1_154_1557 -          7TMR-DISM_7TM        PF07695.14    0.0087   16.0  11.3     0.064   13.1   1.5   2.5   1   1   2   3   3   3   2 -
group_25908_+1_1_339  -          7TMR-DISM_7TM        PF07695.14     0.013   15.4   0.2     0.014   15.2   0.2   1.0   1   0   0   1   1   1   0 -
group_7762_+1_1_855   -          7TMR-DISM_7TM        PF07695.14     0.037   13.9  11.1      0.33   10.8   1.7   2.1   2   0   0   2   2   2   0 -
group_8500_+1_1_303   -          7TMR-DISM_7TM        PF07695.14     0.055   13.3   0.2     0.061   13.2   0.2   1.0   1   0   0   1   1   1   0 -
group_26166_+1_1_2706 -          7TMR-DISM_7TM        PF07695.14      0.96    9.3   7.3         2    8.2   7.3   1.5   1   0   0   1   1   1   0 -
group_7932_+1_1_1260 -          7tm_1                PF00001.24     0.021   14.1   0.1      0.55    9.4   0.0   2.3   1   1   0   1   1   1   0 -
group_21580_+1_1_300 -          7TM_GPCR_Sra         PF02117.19     0.081   11.7   0.0       0.1   11.4   0.0   1.1   1   0   0   1   1   1   0 -
group_1807_+1_1_945  -          7TM_GPCR_Srt         PF10321.12      0.12   11.3   1.2      0.17   10.8   1.2   1.1   1   0   0   1   1   1   0 -
group_13134_+1_1_429 -          7TM_GPCR_Str         PF10326.12      0.12   11.7   0.5      0.17   11.2   0.5   1.1   1   0   0   1   1   1   0 -
group_17330_+1_1_1116  -          A-2_8-polyST         PF07388.14   0.00014   21.5   0.0   0.00022   20.8   0.0   1.2   1   0   0   1   1   1   1 -
group_15464_+1_160_789 -          A-2_8-polyST         PF07388.14      0.14   11.6   0.0      0.19   11.2   0.0   1.1   1   0   0   1   1   1   0 -
group_21003_+1_1_210 -          A2L_zn_ribbon        PF08792.13       0.3   10.8   5.5       3.9    7.3   0.4   2.4   2   1   0   2   2   2   0 -
group_14658_+1_1_255 -          A2L_zn_ribbon        PF08792.13         3    7.6   6.1        56    3.6   6.1   2.2   1   1   0   1   1   1   0 -
group_575_+1_1_5211  -          A2M                  PF00207.25   1.9e-09   37.2   0.0     8e-09   35.2   0.0   2.2   1   0   0   1   1   1   1 -
group_575_+1_1_5211  -          A2M_BRD              PF07703.17     2e-10   41.2   0.0   6.3e-10   39.5   0.0   2.0   1   0   0   1   1   1   1 -
group_134_+1_1_1440  -          A2M_BRD              PF07703.17       0.1   13.0   0.1       0.2   12.0   0.1   1.5   1   0   0   1   1   1   0 -
group_14714_minus1_88_816  -          AAA                  PF00004.32   4.9e-19   69.0   0.0   3.9e-18   66.1   0.0   2.0   2   0   0   2   2   2   1 -
group_18350_minus1_97_1086 -          AAA                  PF00004.32   5.1e-13   49.6   0.1   1.1e-12   48.5   0.0   1.6   2   0   0   2   2   1   1 -
group_3320_+1_1_840        -          AAA                  PF00004.32   7.3e-13   49.1   0.0   1.2e-12   48.3   0.0   1.4   1   0   0   1   1   1   1 -
group_23870_+1_1_2052      -          AAA                  PF00004.32     7e-10   39.4   0.0   1.3e-09   38.5   0.0   1.4   1   0   0   1   1   1   1 -
group_12895_+1_46_1218     -          AAA                  PF00004.32   2.7e-09   37.5   0.0   9.6e-09   35.7   0.0   2.0   1   0   0   1   1   1   1 -
group_11110_+1_1_870       -          AAA                  PF00004.32   9.7e-09   35.7   0.0   1.9e-08   34.8   0.0   1.5   1   0   0   1   1   1   1 -
group_19272_+1_1_1062      -          AAA                  PF00004.32   1.3e-08   35.3   0.0   2.7e-08   34.3   0.0   1.6   1   0   0   1   1   1   1 -
group_14204_+1_1_1350      -          AAA                  PF00004.32   1.4e-07   32.0   0.0   2.7e-07   31.1   0.0   1.5   1   0   0   1   1   1   1 -
group_7697_+1_1_1614       -          AAA                  PF00004.32   1.6e-06   28.5   0.3      0.32   11.4   0.0   3.9   3   1   0   3   3   3   2 -
group_17514_+1_1_1743      -          AAA                  PF00004.32   2.4e-05   24.7   0.0   4.4e-05   23.9   0.0   1.4   1   0   0   1   1   1   1 -
group_16365_+1_130_705     -          AAA                  PF00004.32   2.5e-05   24.7   0.0   4.1e-05   24.0   0.0   1.4   1   0   0   1   1   1   1 -
group_15371_+1_1_2502      -          AAA                  PF00004.32   4.2e-05   24.0   0.1     0.088   13.2   0.0   2.6   2   0   0   2   2   2   1 -
group_21247_minus1_40_1377 -          AAA                  PF00004.32   0.00013   22.4   0.0      0.17   12.3   0.0   2.7   3   0   0   3   3   2   1 -
group_14067_+1_1_1137      -          AAA                  PF00004.32   0.00015   22.1   0.0   0.00033   21.0   0.0   1.6   1   0   0   1   1   1   1 -
group_2286_+1_1_1104       -          AAA                  PF00004.32   0.00019   21.9   0.0   0.00036   20.9   0.0   1.5   1   0   0   1   1   1   1 -
group_19522_+1_1_762       -          AAA                  PF00004.32   0.00055   20.3   0.0    0.0065   16.9   0.0   2.0   1   1   0   1   1   1   1 -
